id,Name,latitude,longitude
1,Visy Park,-37.78343039,144.9619826
2,AAMI Park,-37.82472527,144.983803
3,Margaret Court Arena,-37.82132521,144.9775911
4,North Melbourne Recreation Centre (Aquatic),-37.799947,144.9432908
5,Carlton Football Club,-37.78408644,144.9619678
6,Flemington Racecourse,-37.79080826,144.912143
7,Melbourne Cricket Ground (MCG),-37.81949216,144.9834029
8,Wonderland Park,-37.81169454,144.9368337
9,Rod Laver Arena,-37.82204561,144.9784872
10,Melbourne Park,-37.8209086,144.9787358
11,Hisense Arena,-37.82311,144.9818348
12,Riverside Park,-37.79483753,144.9156071
13,City Baths,-37.80715854,144.9631898
14,Etihad Stadium,-37.81617605,144.9474963
15,State Netball Hockey Centre,-37.785786,144.947581
16,Melbourne Zoo,-37.78444493,144.9513712
17,Melbourne Showgrounds,-37.78230979,144.9108221
18,Westpac Centre,-37.82424569,144.9797203
19,Fawkner Park,-37.84207961,144.9803618
20,Holland Park,-37.7985291,144.9251661
21,Other Park Locations,-37.80281698,144.9555042
22,Princes Park,-37.78548983,144.9612569
23,Other Park Locations,-37.81712741,144.988966
24,Fawkner Park,-37.84257425,144.9829361
25,Royal Park,-37.78557215,144.9554622
26,Fawkner Park,-37.84459028,144.982861
27,Kings Domain,-37.82460148,144.9766024
28,Other Park Locations,-37.81141956,144.9752304
29,Carlton Gardens,-37.80567411,144.9703352
30,Carlton Gardens,-37.80696891,144.9720006
31,Holland Park,-37.79764034,144.9244203
32,Holland Park,-37.79850806,144.9239072
33,Fitzroy Gardens,-37.81412408,144.9798492
34,Other Park Locations,-37.82623562,144.9825817
35,Fitzroy Gardens,-37.8151228,144.9820236
36,Other Park Locations,-37.80244916,144.9136674
37,Fawkner Park,-37.84179927,144.9823774
38,Kings Domain,-37.827645,144.9737296
39,Fawkner Park,-37.84409411,144.9812504
40,Other Park Locations,-37.83069807,144.9875327
41,Carlton Gardens,-37.80240178,144.9725999
42,Fitzroy Gardens,-37.81528867,144.9807861
43,Kings Domain,-37.82368675,144.9728856
44,Docklands,-37.81566821,144.9375827
45,Other Park Locations,-37.79596017,144.9531658
46,Fawkner Park,-37.84404354,144.9836025
47,Alexandra Gardens,-37.82111848,144.9738509
48,Other Park Locations,-37.80560641,144.941488
49,Royal Park,-37.77873462,144.9567574
50,Princes Park,-37.78589363,144.9625708
51,Holland Park,-37.79804493,144.9226448
52,Fawkner Park,-37.83991855,144.9790326
53,Other Park Locations,-37.80304368,144.9657847
54,Other Park Locations,-37.79911473,144.9437339
55,Princes Park,-37.78664888,144.9612404
56,Enterprise Park,-37.8202345,144.9594089
57,Other Park Locations,-37.80864887,144.9448769
58,Royal Park,-37.79219452,144.9475991
59,Royal Park,-37.78700392,144.9539298
60,Holland Park,-37.79824996,144.9213476
61,Carlton Gardens,-37.8015092,144.9713921
62,Other Park Locations,-37.80644047,144.9536061
63,Promotional Spaces,-37.81968992,144.9650858
64,Other Park Locations,-37.82868852,144.9673607
65,Princes Park,-37.78788014,144.9612333
66,Fawkner Park,-37.84314053,144.9817215
67,Docklands,-37.82189962,144.9446137
68,Docklands,-37.8233815,144.9421312
69,Birrarung Marr,-37.8190738,144.9734868
70,Royal Park,-37.78651884,144.9549599
71,Batman Park,-37.82183878,144.9566691
72,Treasury Gardens,-37.81363858,144.976402
73,Other Park Locations,-37.80961913,144.972591
74,Kings Domain,-37.82584898,144.9751
75,Kings Domain,-37.82562219,144.9731689
76,Kings Domain,-37.82384582,144.9720251
77,Carlton Gardens,-37.80655619,144.9727228
78,Docklands,-37.81524691,144.944477
79,Fawkner Park,-37.84179927,144.9823774
80,Queen Victoria Gardens,-37.82174112,144.9716331
81,Treasury Gardens,-37.81472179,144.9769546
82,Princes Park,-37.78533714,144.9615229
83,Fitzroy Gardens,-37.81421593,144.9822196
84,Fitzroy Gardens,-37.81366726,144.9792259
85,Royal Park,-37.7835554,144.9442602
86,Docklands,-37.82033301,144.945027
87,Queen Victoria Gardens,-37.82274632,144.9706581
88,Princes Park,-37.78069122,144.9613104
89,Docklands,-37.8203908,144.9407183
90,Promotional Spaces,-37.81016919,144.963954
